HealthcareID,Name,FacilityType,Source,SourceID,Address,City,State,SubmarketID,SubmarketName,Hub,Longitude,Latitude
hifld_e65e93d46d01498f,THOMAS HOSPITAL,Hospital,HIFLD Hospitals,0011536532,THOMAS HOSPITAL,FAIRHOPE,AL,SM-06,West Baldwin,Alabama Hub,-87.8894474374492,30.5188790282446
hifld_3389ef5186766a2b,EASTPOINTE HOSPITAL,Hospital,HIFLD Hospitals,0004336526,EASTPOINTE HOSPITAL,DAPHNE,AL,SM-06,West Baldwin,Alabama Hub,-87.8951390973914,30.6352891462771
hifld_ce6da40de245b8ea,SOUTH BALDWIN REGIONAL MEDICAL CENTER,Hospital,HIFLD Hospitals,0008636535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,SM-04,South Baldwin,Alabama Hub,-87.6846856472248,30.4258356837698
hifld_9eeb1e9bb5834c2e,BAYPOINTE BEHAVIORAL HEALTH,Hospital,HIFLD Hospitals,0000436693,BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,SM-02,Central Mobile,Alabama Hub,-88.1780081251748,30.624808491219
hifld_51a6702639a84451,NORTH BALDWIN INFIRMARY,Hospital,HIFLD Hospitals,0009436507,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,SM-05,North Baldwin,Alabama Hub,-87.7850224961912,30.9039343616815
hifld_2116cf8993b563e3,MOBILE INFIRMARY MEDICAL CENTER,Hospital,HIFLD Hospitals,0013636652,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,SM-03,North Mobile / Saraland,Alabama Hub,-88.0797761916179,30.6957249583402
hifld_0811a7b6521c3789,SPRINGHILL MEMORIAL HOSPITAL,Hospital,HIFLD Hospitals,0011136608,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,SM-02,Central Mobile,Alabama Hub,-88.1313362913368,30.6845174882915
hifld_8dc8fb7c0318740a,LAKEVIEW CENTER - PSYCHIATRIC HOSPITAL,Hospital,HIFLD Hospitals,0082132501,LAKEVIEW CENTER - PSYCHIATRIC HOSPITAL,PENSACOLA,FL,SM-07,Pensacola,Pensacola Hub,-87.2331558851359,30.432356899951
hifld_baad9d5edb4b1dc9,SACRED HEART HOSPITAL ON THE GULF,Hospital,HIFLD Hospitals,0033232456,SACRED HEART HOSPITAL ON THE GULF,PORT SAINT JOE,FL,SM-31,Gulf County,Growth Markets,-85.2878970204311,29.7790236657096
hifld_8623284c63ff49f0,GULF COAST TREATMENT CENTER,Hospital,HIFLD Hospitals,0014932547,GULF COAST TREATMENT CENTER,FORT WALTON BEACH,FL,SM-18,Fort Walton,Pensacola Hub,-86.6359252937173,30.4555941405572
hifld_796c45ed6ec8cf93,NORTH OKALOOSA MEDICAL CENTER,Hospital,HIFLD Hospitals,0027932539,NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,SM-17,Crestview,Pensacola Hub,-86.5625252858133,30.7353546266148
hifld_6b552629caab3945,REHABILITATION INSTITUTE OF NORTHWEST FLORIDA,Hospital,HIFLD Hospitals,0032832541,REHABILITATION INSTITUTE OF NORTHWEST FLORIDA,DESTIN,FL,SM-22,Walton and Bay Beaches,Growth Markets,-86.4719111873514,30.3941219857411
hifld_72908ae1ed3a0652,TWIN CITIES HOSPITAL,Hospital,HIFLD Hospitals,0040632578,TWIN CITIES HOSPITAL,NICEVILLE,FL,SM-21,Eglin AFB,Growth Markets,-86.4954773199223,30.5335890977587
hifld_fff77620758989b4,NORTHWEST FLORIDA COMMUNITY HOSPITAL,Hospital,HIFLD Hospitals,0028732428,NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,FL,SM-25,Washington County,Growth Markets,-85.5428615393286,30.7654920694035
hifld_c89e2e593e6bd468,GULF BREEZE HOSPITAL,Hospital,HIFLD Hospitals,0014332561,GULF BREEZE HOSPITAL,GULF BREEZE,FL,SM-09,Pensacola Beaches,Pensacola Hub,-87.1570546510513,30.3604819452856
hifld_d8e59bf42e6ac712,JAY HOSPITAL,Hospital,HIFLD Hospitals,0019032565,JAY HOSPITAL,JAY,FL,SM-14,Santa Rosa County,Growth Markets,-87.1512692250946,30.9498495428222
hifld_3a36b0d4dc364c38,SANTA ROSA MEDICAL CENTER,Hospital,HIFLD Hospitals,0033632570,SANTA ROSA MEDICAL CENTER,MILTON,FL,SM-10,Milton,Pensacola Hub,-87.0670950629867,30.6342186913396
hifld_537885ce49b2a8d2,WEST FLORIDA COMMUNITY CARE CENTER,Hospital,HIFLD Hospitals,0042132570,WEST FLORIDA COMMUNITY CARE CENTER,MILTON,FL,SM-10,Milton,Pensacola Hub,-87.0425332819854,30.6343753712264
hifld_7ecda471dfc32f9e,BAPTIST HOSPITAL,Hospital,HIFLD Hospitals,0001132501,BAPTIST HOSPITAL,PENSACOLA,FL,SM-07,Pensacola,Pensacola Hub,-87.2304209029023,30.4294178948201
hifld_a5ed16a0072ac10e,SELECT SPECIALTY HOSPITAL PENSACOLA,Hospital,HIFLD Hospitals,0034632504,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,FL,SM-07,Pensacola,Pensacola Hub,-87.2156864716533,30.4786590881465
hifld_019600ed223635d9,WEST FLORIDA HOSPITAL,Hospital,HIFLD Hospitals,0042232514,WEST FLORIDA HOSPITAL,PENSACOLA,FL,SM-07,Pensacola,Pensacola Hub,-87.2178951418473,30.5156806424478
hifld_5180336120c4ab26,SACRED HEART HOSPITAL,Hospital,HIFLD Hospitals,0033032504,SACRED HEART HOSPITAL,PENSACOLA,FL,SM-07,Pensacola,Pensacola Hub,-87.2123375987012,30.4754056881221
